"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 21:30:33 GMT 2022","Mon Aug 08 21:30:34 GMT 2022","702","","","","","","get all tourist",""
"passed","Mon Aug 08 21:30:35 GMT 2022","Mon Aug 08 21:30:35 GMT 2022","263","","","","","","Get Tourist by Id",""
"passed","Mon Aug 08 21:30:34 GMT 2022","Mon Aug 08 21:30:34 GMT 2022","386","","","","","","get all tourist inexist data",""
"passed","Mon Aug 08 21:30:34 GMT 2022","Mon Aug 08 21:30:35 GMT 2022","300","","","","","","Post Tourist",""
"passed","Mon Aug 08 21:30:35 GMT 2022","Mon Aug 08 21:30:35 GMT 2022","263","","","","","","Delete Tourist",""
