"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 21:19:15 GMT 2022","Mon Aug 08 21:19:15 GMT 2022","296","","","","","","Post Tourist",""
"passed","Mon Aug 08 21:19:15 GMT 2022","Mon Aug 08 21:19:15 GMT 2022","402","","","","","","get all tourist inexist data",""
"passed","Mon Aug 08 21:19:15 GMT 2022","Mon Aug 08 21:19:16 GMT 2022","264","","","","","","Get Tourist by Id",""
"passed","Mon Aug 08 21:19:16 GMT 2022","Mon Aug 08 21:19:16 GMT 2022","264","","","","","","Delete Tourist",""
"passed","Mon Aug 08 21:19:14 GMT 2022","Mon Aug 08 21:19:15 GMT 2022","721","","","","","","get all tourist",""
