"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 21:20:52 GMT 2022","Mon Aug 08 21:20:53 GMT 2022","244","","","","","","Delete Tourist",""
"passed","Mon Aug 08 21:20:52 GMT 2022","Mon Aug 08 21:20:52 GMT 2022","276","","","","","","Post Tourist",""
"passed","Mon Aug 08 21:20:51 GMT 2022","Mon Aug 08 21:20:52 GMT 2022","386","","","","","","get all tourist inexist data",""
"passed","Mon Aug 08 21:20:51 GMT 2022","Mon Aug 08 21:20:51 GMT 2022","689","","","","","","get all tourist",""
"passed","Mon Aug 08 21:20:52 GMT 2022","Mon Aug 08 21:20:52 GMT 2022","245","","","","","","Get Tourist by Id",""
