"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 21:27:02 GMT 2022","Mon Aug 08 21:27:03 GMT 2022","262","","","","","","Post Tourist",""
"passed","Mon Aug 08 21:27:02 GMT 2022","Mon Aug 08 21:27:02 GMT 2022","367","","","","","","get all tourist inexist data",""
"passed","Mon Aug 08 21:27:03 GMT 2022","Mon Aug 08 21:27:03 GMT 2022","243","","","","","","Get Tourist by Id",""
"passed","Mon Aug 08 21:27:01 GMT 2022","Mon Aug 08 21:27:02 GMT 2022","630","","","","","","get all tourist",""
"passed","Mon Aug 08 21:27:03 GMT 2022","Mon Aug 08 21:27:03 GMT 2022","243","","","","","","Delete Tourist",""
