"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 19 15:00:34 GMT 2022","Fri Aug 19 15:00:34 GMT 2022","387","","","","","","get all tourist inexist data",""
"passed","Fri Aug 19 15:00:34 GMT 2022","Fri Aug 19 15:00:34 GMT 2022","267","","","","","","Post Tourist",""
"passed","Fri Aug 19 15:00:34 GMT 2022","Fri Aug 19 15:00:35 GMT 2022","241","","","","","","Get Tourist by Id",""
"passed","Fri Aug 19 15:00:35 GMT 2022","Fri Aug 19 15:00:35 GMT 2022","244","","","","","","Delete Tourist",""
"passed","Fri Aug 19 15:00:33 GMT 2022","Fri Aug 19 15:00:34 GMT 2022","683","","","","","","get all tourist",""
