"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 21:22:55 GMT 2022","Mon Aug 08 21:22:55 GMT 2022","262","","","","","","Delete Tourist",""
"passed","Mon Aug 08 21:22:55 GMT 2022","Mon Aug 08 21:22:55 GMT 2022","296","","","","","","Post Tourist",""
"passed","Mon Aug 08 21:22:54 GMT 2022","Mon Aug 08 21:22:55 GMT 2022","405","","","","","","get all tourist inexist data",""
"passed","Mon Aug 08 21:22:55 GMT 2022","Mon Aug 08 21:22:55 GMT 2022","263","","","","","","Get Tourist by Id",""
"passed","Mon Aug 08 21:22:53 GMT 2022","Mon Aug 08 21:22:54 GMT 2022","676","","","","","","get all tourist",""
