"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 19 14:54:10 GMT 2022","Fri Aug 19 14:54:10 GMT 2022","373","","","","","","get all tourist inexist data",""
"passed","Fri Aug 19 14:54:10 GMT 2022","Fri Aug 19 14:54:11 GMT 2022","242","","","","","","Get Tourist by Id",""
"passed","Fri Aug 19 14:54:11 GMT 2022","Fri Aug 19 14:54:11 GMT 2022","242","","","","","","Delete Tourist",""
"passed","Fri Aug 19 14:54:09 GMT 2022","Fri Aug 19 14:54:10 GMT 2022","672","","","","","","get all tourist",""
"passed","Fri Aug 19 14:54:10 GMT 2022","Fri Aug 19 14:54:10 GMT 2022","277","","","","","","Post Tourist",""
