"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 21:40:42 GMT 2022","Mon Aug 08 21:40:42 GMT 2022","319","","","","","","Post Tourist",""
"passed","Mon Aug 08 21:40:42 GMT 2022","Mon Aug 08 21:40:42 GMT 2022","280","","","","","","Get Tourist by Id",""
"passed","Mon Aug 08 21:40:41 GMT 2022","Mon Aug 08 21:40:42 GMT 2022","653","","","","","","get all tourist inexist data",""
"passed","Mon Aug 08 21:40:42 GMT 2022","Mon Aug 08 21:40:43 GMT 2022","280","","","","","","Delete Tourist",""
"passed","Mon Aug 08 21:40:40 GMT 2022","Mon Aug 08 21:40:41 GMT 2022","737","","","","","","get all tourist",""
