"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 19 14:59:29 GMT 2022","Fri Aug 19 14:59:30 GMT 2022","274","","","","","","Delete Tourist",""
"passed","Fri Aug 19 14:59:28 GMT 2022","Fri Aug 19 14:59:28 GMT 2022","786","","","","","","get all tourist",""
"passed","Fri Aug 19 14:59:28 GMT 2022","Fri Aug 19 14:59:29 GMT 2022","421","","","","","","get all tourist inexist data",""
"passed","Fri Aug 19 14:59:29 GMT 2022","Fri Aug 19 14:59:29 GMT 2022","276","","","","","","Get Tourist by Id",""
"passed","Fri Aug 19 14:59:29 GMT 2022","Fri Aug 19 14:59:29 GMT 2022","307","","","","","","Post Tourist",""
